Title,Credit Line,Acquisition Notes,Acquisition Details,Acquisition Date,Object History,Condition,Reference Material,Author Name,Publisher,Date of Publication
"""Sultan Abdullah Qutub Shah""","""British Library""","""From a manuscript presented by Colonel David Ochterlony to William Yule (1764-1839) in Delhi, 10 September 1805. Donated to the British Museum by Yule's sons in 1847 or 1850. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Court scene with Sultan Abdullah Qutub Shah""","""British Library""","""From a manuscript presented by Colonel David Ochterlony to William Yule (1764-1839) in Delhi, 10 September 1805. Donated to the British Museum by Yule's sons in 1847 or 1850. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Heavily abstracted and sexual imagery""","""Dr Achinto Sen-Gupta""","""This painting was left unsold at the sale of Contemporary Inian Art at Sotheby's, London in October 1996. Dr. Sen Gupta subsequently donated the painting to the Department of Oriental Antiquities.""",,1997,,,"""Neo-Tantric 20th Century Indian Painting""","""Sen-Gupta""","""Arts of Asia""",2001
"""Ascetics presenting fish to Iskandar""","""Bluett & Sons""",,"""Funded by Brooke Sewell Permanent Fund""",1979,,,"""Islamic Art and Design, 1500-1700""","""Rogers""","""British Museum Press""",1983
"""Palace scene with Sultan Abdullah Qutub Shah""","""British Library""","""From a manuscript presented by Colonel David Ochterlony to William Yule (1764-1839) in Delhi, 10 September 1805. Donated to the British Museum by Yule's sons in 1847 or 1850. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Bahram Gur hunting with Dilaram""","""British Library""","""From an album (Or 1372) acquired by the British Museum in 1875 from Sir Charles Murray (1806-1895). Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1920.""",,1920,"""Hon Sir Charles Augustus Murray""",,"""The Islamic World: a History in Objects""","""Akbarnia et al"" ","""WW Norton""",2018
"""Two lovers sit on a bed""","""Dr Ananda Kentish Coomaraswamy""",,,1925,,,,,,
"""An illustration from the Rasamanjari""","""Florence Marshall""",,"""Funded by Brooke Sewell Permanent Fund""",1960,,,,,,
"""An illumination from the Kalpasutra""","""Percival Chater Manuk and Gertrude Mary Coles""",,"""Funded by Art Fund (as NACF)""",1948,,,,,,
"""A court interior with the ruler ""","""British Library""","""From a manuscript presented by Colonel David Ochterlony to William Yule (1764-1839) in Delhi, 10 September 1805. Donated to the British Museum by Yule's sons in 1847 or 1850. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Garden scene with Sultan Abdullah Qutub Shah""","""British Library""","""From a manuscript presented by Colonel David Ochterlony to William Yule (1764-1839) in Delhi, 10 September 1805. Donated to the British Museum by Yule's sons in 1847 or 1850. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Bhils having killed a black buck""","""British Library""","""From an album (375 / Or 57d) purchased by the British Museum in April 1868 from widow of Colonel George William Hamilton (1807-1868). Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1920.""",,1920,"""Hamilton, George William""",,,,,
"""Based on tantric ideas""","""Dr Achinto Sen-Gupta""",,,2003,,"""Good""","""Neo-Tantra. Contemporary Indian Painting Inspired by Tradition (comparanda)""","""Tonelli, Edith A. (Editor)""","""Los Angeles-Frederick S. Wight Gallery""",1985
,,,,,,,"""The Flamed-mosaic. Indian Contemporary Painting (comparanda)""","""Tuli""","""Heart In Association With Mapin Publishing Pvt. Ltd.""",1997
,,,,,,,"""Contemporary Art in Baroda (comparanda)""","""Sheikh""","""Tulika""",1997
